time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-05 00:00:00+00:00,8,5,30,2
2022-04-07 00:00:00+00:00,0,0,1,1
2022-04-08 00:00:00+00:00,1,1,0,0
2022-04-11 00:00:00+00:00,5,3,3,1
2022-04-12 00:00:00+00:00,2,1,0,0
2022-04-13 00:00:00+00:00,5,3,7,2
2022-04-14 00:00:00+00:00,1,1,0,0
2022-04-15 00:00:00+00:00,2,2,0,0
2022-04-16 00:00:00+00:00,1,1,0,0
2022-04-18 00:00:00+00:00,6,4,8,1
2022-04-19 00:00:00+00:00,13,5,15,1
2022-04-22 00:00:00+00:00,1,1,0,0
2022-04-25 00:00:00+00:00,8,4,12,1
