time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-12 00:00:00+00:00,42,30,0,0
2022-04-13 00:00:00+00:00,61,35,0,0
2022-04-14 00:00:00+00:00,60,31,0,0
2022-04-15 00:00:00+00:00,19,15,0,0
2022-04-20 00:00:00+00:00,0,0,1,1
2022-04-21 00:00:00+00:00,2,1,0,0
2022-04-22 00:00:00+00:00,0,0,1,1
2022-05-20 00:00:00+00:00,1,1,0,0
2022-05-21 00:00:00+00:00,1,1,0,0
2022-05-24 00:00:00+00:00,1,1,0,0
2022-06-02 00:00:00+00:00,0,0,1,1
2022-06-06 00:00:00+00:00,1,1,0,0
2022-06-15 00:00:00+00:00,1,1,0,0
2022-06-24 00:00:00+00:00,1,1,2,2
2022-06-29 00:00:00+00:00,0,0,1,1
2022-07-03 00:00:00+00:00,8,8,0,0
2022-07-04 00:00:00+00:00,60,31,0,0
2022-07-05 00:00:00+00:00,61,29,0,0
2022-07-06 00:00:00+00:00,17,14,0,0
2022-07-08 00:00:00+00:00,2,1,0,0
2022-07-09 00:00:00+00:00,1,1,0,0
2022-07-11 00:00:00+00:00,33,26,0,0
2022-07-12 00:00:00+00:00,60,33,0,0
2022-07-13 00:00:00+00:00,60,32,0,0
2022-07-14 00:00:00+00:00,17,12,0,0
2022-07-15 00:00:00+00:00,2,1,0,0
2022-07-21 00:00:00+00:00,33,26,0,0
2022-07-22 00:00:00+00:00,59,25,0,0
2022-07-23 00:00:00+00:00,56,33,0,0
