time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-18 00:00:00+00:00,28,24,,
2023-04-19 00:00:00+00:00,103,50,,
2023-04-20 00:00:00+00:00,118,56,13.0,2.0
2023-04-21 00:00:00+00:00,78,42,1.0,1.0
2023-04-22 00:00:00+00:00,59,34,,
2023-04-23 00:00:00+00:00,55,34,,
2023-04-24 00:00:00+00:00,59,35,3.0,1.0
2023-04-25 00:00:00+00:00,59,35,1.0,1.0
2023-04-26 00:00:00+00:00,36,29,1.0,1.0
2023-04-27 00:00:00+00:00,88,46,9.0,1.0
2023-04-28 00:00:00+00:00,121,39,,
2023-04-29 00:00:00+00:00,119,45,,
2023-04-30 00:00:00+00:00,76,41,,
2023-05-01 00:00:00+00:00,74,32,,
