time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-05 00:00:00+00:00,10,4,67,2
2022-04-06 00:00:00+00:00,2,1,1,1
2022-04-07 00:00:00+00:00,0,0,3,2
2022-04-08 00:00:00+00:00,7,4,1,1
2022-04-10 00:00:00+00:00,1,1,0,0
2022-04-11 00:00:00+00:00,16,6,2,1
2022-04-12 00:00:00+00:00,2,1,1,1
2022-04-13 00:00:00+00:00,57,34,2,2
2022-04-14 00:00:00+00:00,60,32,0,0
2022-04-15 00:00:00+00:00,22,15,7,2
2022-04-16 00:00:00+00:00,2,1,0,0
2022-04-18 00:00:00+00:00,9,3,3,1
2022-04-19 00:00:00+00:00,2,1,1,1
2022-04-20 00:00:00+00:00,0,0,9,1
2022-04-22 00:00:00+00:00,41,24,7,2
2022-04-23 00:00:00+00:00,60,29,0,0
2022-04-24 00:00:00+00:00,58,30,0,0
2022-04-25 00:00:00+00:00,27,17,1,1
2022-04-26 00:00:00+00:00,27,22,18,4
2022-04-27 00:00:00+00:00,70,43,7,1
2022-04-28 00:00:00+00:00,61,29,1,1
2022-04-29 00:00:00+00:00,17,14,0,0
2022-05-01 00:00:00+00:00,1,1,0,0
2022-05-02 00:00:00+00:00,25,5,21,4
2022-05-03 00:00:00+00:00,2,1,1,1
2022-05-05 00:00:00+00:00,1,1,1,1
2022-05-06 00:00:00+00:00,0,0,3,1
2022-05-09 00:00:00+00:00,4,1,1,1
2022-05-10 00:00:00+00:00,0,0,3,1
2022-05-11 00:00:00+00:00,4,2,33,1
2022-05-12 00:00:00+00:00,2,1,0,0
2022-05-13 00:00:00+00:00,77,39,0,0
2022-05-14 00:00:00+00:00,141,53,1,1
2022-05-15 00:00:00+00:00,85,40,0,0
2022-05-16 00:00:00+00:00,64,31,0,0
2022-05-17 00:00:00+00:00,17,10,2,2
2022-05-18 00:00:00+00:00,36,26,0,0
2022-05-19 00:00:00+00:00,59,34,0,0
2022-05-20 00:00:00+00:00,60,31,1,1
2022-05-21 00:00:00+00:00,19,17,0,0
2022-05-23 00:00:00+00:00,126,69,1,1
2022-05-24 00:00:00+00:00,79,40,0,0
2022-05-25 00:00:00+00:00,17,15,0,0
2022-05-29 00:00:00+00:00,15,12,1,1
2022-05-30 00:00:00+00:00,63,33,0,0
2022-05-31 00:00:00+00:00,59,35,0,0
2022-06-01 00:00:00+00:00,17,13,0,0
2022-06-06 00:00:00+00:00,4,1,0,0
2022-06-08 00:00:00+00:00,6,4,33,12
2022-06-09 00:00:00+00:00,67,42,49,9
2022-06-10 00:00:00+00:00,59,36,0,0
2022-06-11 00:00:00+00:00,17,14,0,0
2022-06-13 00:00:00+00:00,20,4,0,0
2022-06-15 00:00:00+00:00,1,1,0,0
2022-06-17 00:00:00+00:00,34,7,16,2
2022-06-19 00:00:00+00:00,1,1,1,1
2022-06-20 00:00:00+00:00,4,1,2,1
2022-06-22 00:00:00+00:00,1,1,0,0
